Ticker,Price,Market Capitalization,Number Of Shares to Buy
A,131.0,38383537362.0,151
AAL,13.09,8554845800.0,1512
AAP,60.49,3599275375.0,327
AAPL,181.91,2829201116320.0,108
ABBV,161.46,290628000000.0,122
ABC,179.98,36387430583.0,110
ABMD,381.02,17180642928.0,51
ABT,110.98,192667776325.0,178
ACN,337.09,214050721075.0,58
ADBE,567.05,258177865000.0,34
ADI,186.07,92339410425.0,106
ADM,71.75,38270105046.0,275
ADP,233.66,96105475362.0,84
ADSK,228.92,48969496199.0,86
AEE,73.91,19434268498.0,267
AEP,83.39,43852769036.0,237
AES,18.87,12635899890.0,1049
AFL,82.3,48094464865.0,240
AIG,68.63,48181028740.0,288
AIV,7.74,1128179861.0,2558
AIZ,169.08,8892022030.0,117
AJG,225.9,48771810000.0,87
AKAM,114.63,17289822640.0,172
ALB,135.93,15951830263.0,145
ALGN,261.36,20017330835.0,75
ALK,36.81,4713633764.0,537
ALL,148.5,38860529004.0,133
ALLE,122.27,10733785695.0,161
ALXN,182.5,40336009475.0,108
AMAT,149.31,124086629448.0,132
AMCR,9.64,13943657490.0,2054
AMD,136.01,217616000000.0,145
AME,160.48,37038568475.0,123
AMGN,303.17,162249922446.0,65
AMP,379.04,38357404616.0,52
AMT,215.46,100447452000.0,91
AMZN,144.57,1493990801818.0,136
ANET,230.56,71727248740.0,85
ANSS,344.16,29898143880.0,57
ANTM,482.58,116342693132.0,41
AON,290.74,58210900145.0,68
AOS,79.38,12127321333.0,249
APA,34.05,10443796285.0,581
APD,270.25,60051637952.0,73
APH,94.63,56618097160.0,209
APTV,83.59,23644447035.0,236
ARE,125.67,21838361556.0,157
ATO,117.6,17738024069.0,168
ATVI,94.42,74289497374.0,209
AVB,183.59,26072554412.0,107
AVGO,1049.01,491084138287.0,18
AVY,195.68,15758360479.0,101
AWK,131.76,25654330405.0,150
AXP,187.14,136385754050.0,105
AZO,2557.41,44222488209.0,7
BA,244.94,148183016657.0,80
BAC,33.8,267484142073.0,585
BAX,38.63,19597907153.0,512
BBY,75.3,16219620000.0,262
BDX,242.91,70542278550.0,81
BEN,28.47,14107652267.0,695
BF.B,55.84,26949363936.0,354
BIIB,260.28,37714080591.0,76
BIO,316.48,9220404908.0,62
BK,52.01,39999501189.0,380
BKNG,3419.94,119321272268.0,5
BKR,33.25,33457276942.0,595
BLK,785.95,116919864082.0,25
BLL,69.49,22222129619.0,284
BMY,52.04,105888792894.0,380
BR,197.09,23187047230.0,100
BRK.B,363.68,791179501058.0,54
BSX,58.17,85218048138.0,340
BWA,34.31,8064751769.0,577
BXP,69.24,10866538063.0,285
C,53.77,102909431537.0,368
CAG,28.72,13727237542.0,689
CAH,105.56,26017176119.0,187
CARR,55.48,46550304203.0,356
CAT,286.1,145649144972.0,69
CB,227.3,92736103815.0,87
CBOE,173.55,18319241891.0,114
CBRE,87.42,26644986663.0,226
CCI,114.0,49440530382.0,173
CCL,16.85,18862652109.0,1175
CDNS,255.92,69626107040.0,77
CDW,215.08,28812196165.0,92
CE,149.75,16301061258.0,132
CERN,94.92,27915791082.0,208
CF,81.14,15502324491.0,244
CFG,32.32,15068326293.0,612
CHD,94.52,23288001309.0,209
CHRW,88.21,10289787974.0,224
CHTR,375.75,55581047089.0,52
CI,306.22,89606085989.0,64
CINF,106.6,16726362952.0,185
CL,80.34,66149727288.0,246
CLX,142.45,17672218510.0,139
CMA,55.07,7262235757.0,359
CMCSA,42.63,171186535994.0,464
CME,202.74,72984339756.0,97
CMG,2220.47,60940044190.0,8
CMI,235.88,33434778284.0,83
CMS,59.38,17324920608.0,333
CNC,77.21,41245659210.0,256
CNP,29.08,18355981125.0,680
COF,129.77,49422485473.0,152
COG,22.25,8892528027.0,889
COO,365.98,18125518892.0,54
COP,116.48,138309277084.0,170
COST,648.35,287691318514.0,30
COTY,11.54,10289883825.0,1715
CPB,43.47,13018221329.0,455
CPRT,46.64,44783728000.0,424
CRM,251.24,243200320000.0,78
CSCO,50.08,203498861854.0,395
CSX,34.72,68611269535.0,570
CTAS,582.38,59317801241.0,34
CTL,11.0,12072940000.0,1800
CTSH,73.59,36898949260.0,269
CTVA,47.6,33545100400.0,416
CTXS,103.9,13183359916.0,190
CVS,80.51,103608043817.0,245
CVX,150.66,284408213869.0,131
CXO,65.6,12877584384.0,301
D,48.2,40333604362.0,410
DAL,39.2,25223766574.0,505
DD,76.56,32924053188.0,258
DE,392.39,109969432886.0,50
DFS,110.33,27588894175.0,179
DG,134.76,29579449949.0,146
DGX,140.56,15803863178.0,140
DHI,147.69,49180724364.0,134
DHR,232.62,171889223630.0,85
DIS,90.56,165753409806.0,218
DISCA,24.44,12449494875.0,810
DISCK,24.42,,810
DISH,5.77,3062174757.0,3431
DLR,131.78,39909848420.0,150
DLTR,136.18,29669800381.0,145
DOV,148.1,20717730326.0,133
DOW,54.19,38008703755.0,365
DPZ,401.27,13996692048.0,49
DRE,48.2,18556648911.0,410
DRI,161.0,19225140893.0,122
DTE,110.53,22797777095.0,179
DUK,98.49,75907398091.0,201
DVA,106.18,9694234000.0,186
DVN,45.63,29235141000.0,433
DXC,22.27,4312442081.0,889
DXCM,121.83,47071936501.0,162
EA,135.97,36571367799.0,145
EBAY,42.53,22073070000.0,465
ECL,195.49,55741983412.0,101
ED,93.25,32191744392.0,212
EFX,234.09,28843815094.0,84
EIX,72.29,27728182263.0,273
EL,138.72,49509168000.0,142
EMN,88.31,10470387988.0,224
EMR,95.1,54216510000.0,208
EOG,121.02,70572764834.0,163
EQIX,794.88,74626056069.0,24
EQR,60.75,23068289741.0,325
ES,62.89,21969125284.0,314
ESS,243.8,15648206455.0,81
ETFC,49.26,10891188960.0,401
ETN,234.48,93627864000.0,84
ETR,103.04,21790185545.0,192
EVRG,53.61,12315329783.0,369
EW,73.52,44589880000.0,269
EXC,36.02,35855655724.0,549
EXPD,127.25,18500797460.0,155
EXPE,144.82,19308094640.0,136
EXR,156.95,33160054163.0,126
F,11.68,45926955576.0,1695
FANG,155.82,27889428832.0,127
FAST,62.19,35536184731.0,318
FB,196.64,561210585170.0,100
FBHS,57.62,,343
FCX,41.55,59581754488.0,476
FDX,245.29,61296143099.0,80
FE,37.79,21684462161.0,524
FFIV,171.78,10256504706.0,115
FIS,60.57,35886731713.0,326
FISV,114.23,,173
FITB,34.42,23440591923.0,575
FLIR,57.34,7565007314.0,345
FLS,39.73,5212918910.0,498
FLT,280.88,20280695192.0,70
FMC,60.27,7519218119.0,328
FOX,27.99,14025542716.0,707
FOXA,30.06,14025542725.0,658
FRC,3.51,630560307.0,5641
FRT,101.81,8299883101.0,194
FTI,19.56,8517600886.0,1012
FTNT,58.39,44838241719.0,339
FTV,71.52,25134528855.0,276
GD,256.18,69910717595.0,77
GE,124.66,135678204120.0,158
GILD,84.48,105265619290.0,234
GIS,65.74,37333095174.0,301
GL,122.22,11501034242.0,162
GLW,30.28,25834135336.0,653
GM,35.49,48602888001.0,557
GOOG,138.04,1597435019976.0,143
GOOGL,136.39,1719741510000.0,145
GPC,136.16,19089173277.0,145
GPN,125.83,32764690743.0,157
GPS,20.12,7461166881.0,984
GRMN,123.81,23688700643.0,159
GS,382.95,124884768089.0,51
GWW,815.98,40500351320.0,24
HAL,35.78,32024951329.0,553
HAS,48.36,6710634101.0,409
HBAN,12.73,18433995934.0,1555
HBI,4.24,1484171813.0,4670
HCA,273.1,73098164480.0,72
HD,338.59,336985707760.0,58
HES,145.75,44767357360.0,135
HFC,36.39,5931624949.0,544
HIG,82.0,24663125896.0,241
HII,256.32,10181916242.0,77
HLT,178.75,45838704519.0,110
HOLX,72.87,17489004182.0,271
HON,204.9,135080456956.0,96
HPE,17.0,22100000000.0,1164
HPQ,29.68,29409984686.0,667
HRB,47.71,6866952018.0,415
HRL,32.32,17672576000.0,612
HSIC,74.8,9719387907.0,264
HST,19.7,13896380000.0,1005
HSY,190.5,39067740000.0,103
HUM,466.54,57436075309.0,42
HWM,52.6,21657753020.0,376
IBM,160.86,146884254940.0,123
ICE,125.62,70221580000.0,157
IDXX,538.5,44723341527.0,36
IEX,211.18,15970601326.0,93
IFF,79.55,20307455110.0,248
ILMN,131.43,20871084000.0,150
INCY,66.59,14923434158.0,297
INFO,108.61,45801486922.0,182
INTC,46.87,197603920000.0,422
INTU,586.82,164250918000.0,33
IP,36.47,12619251405.0,542
IPG,32.19,12328902977.0,615
IPGP,101.31,4753713815.0,195
IQV,220.08,40164600000.0,89
IR,74.94,30335485381.0,264
IRM,66.56,19434825646.0,297
ISRG,323.27,113814183546.0,61
IT,426.54,33227466000.0,46
ITW,259.38,78043779554.0,76
IVZ,17.5,7867201983.0,1131
J,126.43,15970192314.0,156
JBHT,189.04,19498115857.0,104
JCI,56.72,38607820148.0,349
JKHY,166.67,12133576000.0,118
JNJ,160.63,386681164731.0,123
JNPR,29.77,9492714620.0,665
JPM,171.41,495547739731.0,115
K,56.84,19331852400.0,348
KEY,14.33,13416609540.0,1381
KEYS,149.61,26188423204.0,132
KHC,37.78,46338631859.0,524
KIM,20.82,12905780219.0,951
KLAC,546.44,74278854755.0,36
KMB,122.53,41407788200.0,161
KMI,17.95,39898792097.0,1103
KMX,71.83,11399421000.0,275
KO,59.76,258367220640.0,331
KR,45.9,33021536217.0,431
KSS,26.52,2936085528.0,746
KSU,293.59,26710947380.0,67
L,70.7,15783820389.0,280
LB,79.92,21957908112.0,247
LDOS,107.82,14825943067.0,183
LEG,25.29,3371648284.0,782
LEN,145.07,40811862577.0,136
LH,225.22,19121178000.0,87
LHX,207.53,39335287875.0,95
LIN,408.59,198121403675.0,48
LKQ,46.55,12456701749.0,425
LLY,614.5,583349297137.0,32
LMT,457.87,113596958637.0,43
LNC,26.85,4555421263.0,737
LNT,51.94,13254001779.0,381
LOW,211.22,121475283372.0,93
LRCX,731.08,96350495360.0,27
LUV,27.93,16649502563.0,708
LVS,50.25,38147408000.0,394
LW,105.26,15255021388.0,188
LYB,96.09,31167922768.0,206
LYV,89.04,20505912000.0,222
MA,419.77,390569959260.0,47
MAA,132.16,15421420132.0,149
MAR,220.02,64617970387.0,90
MAS,64.23,14419693514.0,308
MCD,291.74,211611283832.0,67
